tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,store_and_fwd_flag,PULocationID,DOLocationID,fare_amount,tip_amount
01/01/2020 12:54:28 AM,01/01/2020 12:58:41 AM,1,0.6,N,170,137,4.5,0
01/01/2020 12:57:13 AM,01/01/2020 12:58:05 AM,1,0.11,N,260,260,2.5,0
01/01/2020 12:36:31 AM,01/01/2020 12:37:23 AM,3,0.18,N,141,141,3,0
01/01/2020 12:23:15 AM,01/01/2020 12:23:54 AM,2,0.09,N,114,114,2.5,0
01/01/2020 12:13:39 AM,01/01/2020 12:24:26 AM,2,1.26,N,249,90,8.5,0
01/01/2020 12:18:16 AM,01/01/2020 12:18:42 AM,1,0.03,N,164,164,2.5,0
01/01/2020 04:44:29 AM,01/01/2020 04:44:36 AM,4,0,N,265,265,70,0
01/01/2020 12:44:29 AM,01/01/2020 12:47:34 AM,2,0.39,N,79,79,4,0
01/01/2020 12:42:44 AM,01/01/2020 12:44:24 AM,1,0.04,N,48,48,3,0
01/01/2020 12:21:30 AM,01/01/2020 12:29:12 AM,2,0.78,N,114,113,6.5,0
01/01/2020 12:21:10 AM,01/01/2020 12:22:39 AM,1,0.33,N,146,146,0,0
01/01/2020 12:13:40 AM,01/01/2020 12:31:14 AM,2,2.41,N,246,249,13,0
01/01/2020 12:21:37 AM,01/01/2020 12:27:07 AM,3,0.72,N,68,113,5.5,0
01/01/2020 12:34:49 AM,01/01/2020 12:57:39 AM,2,2.93,N,142,164,16.5,0
01/01/2020 12:48:57 AM,01/01/2020 12:52:37 AM,1,0.2,N,141,141,4,0
01/01/2020 12:38:08 AM,01/01/2020 12:39:21 AM,1,0.09,N,237,237,3,0
01/01/2020 12:26:07 AM,01/01/2020 12:31:29 AM,1,0.91,N,234,114,5.5,0
01/01/2020 12:49:08 AM,01/01/2020 12:52:54 AM,1,0.02,N,164,164,4,0
01/01/2020 12:44:31 AM,01/01/2020 12:45:05 AM,1,0.06,N,68,90,2.5,0
01/01/2020 12:46:56 AM,01/01/2020 12:59:16 AM,1,2.33,N,87,249,10.5,0
01/01/2020 12:18:30 AM,01/01/2020 12:21:27 AM,1,0.25,N,107,164,4,0
12/31/2019 11:26:25 PM,12/31/2019 11:27:57 PM,2,0.17,N,162,163,3,0
01/01/2020 12:30:31 AM,01/01/2020 12:30:46 AM,1,0.01,N,239,239,2.5,0
01/01/2020 12:18:58 AM,01/01/2020 12:30:53 AM,2,0.81,N,107,234,8.5,0
01/01/2020 12:58:01 AM,01/01/2020 01:02:39 AM,1,0.64,N,170,233,5,0
01/01/2020 12:10:44 AM,01/01/2020 12:18:38 AM,1,2.32,N,140,74,9,0
01/01/2020 12:10:30 AM,01/01/2020 12:24:14 AM,1,6.96,N,229,196,20,0
01/01/2020 12:28:04 AM,01/01/2020 12:34:33 AM,1,0.81,N,79,113,6,0
01/01/2020 12:40:30 AM,01/01/2020 12:45:02 AM,2,0.8,N,42,41,5.5,0
01/01/2020 12:08:13 AM,01/01/2020 12:08:27 AM,5,0,N,48,48,2.5,0
01/01/2020 12:26:04 AM,01/01/2020 12:27:18 AM,1,0,N,234,234,2.5,0
01/01/2020 12:55:09 AM,01/01/2020 12:59:11 AM,1,0.65,N,148,144,4.5,1.66
01/01/2020 12:01:42 AM,01/01/2020 12:05:13 AM,1,0.66,N,236,140,4.5,0
01/01/2020 12:48:19 AM,01/01/2020 01:01:58 AM,1,1.08,N,43,162,9,3.2
01/01/2020 12:35:41 AM,01/01/2020 12:46:53 AM,1,1.2,N,249,79,8.5,2.45
01/01/2020 12:50:28 AM,01/01/2020 12:50:34 AM,2,0,N,79,79,52,0
01/01/2020 12:17:45 AM,01/01/2020 12:20:55 AM,1,0.03,N,186,186,4,0
01/01/2020 12:30:14 AM,01/01/2020 12:35:15 AM,1,0.72,N,141,140,5,0
01/01/2020 12:14:15 AM,01/01/2020 12:26:39 AM,1,2.25,N,231,107,10.5,0
01/01/2020 01:00:29 AM,01/01/2020 01:03:50 AM,1,0.55,N,246,246,4.5,0
01/01/2020 12:06:51 AM,01/01/2020 12:21:09 AM,1,3.93,N,148,141,13.5,0
01/01/2020 12:40:30 AM,01/01/2020 12:58:36 AM,1,0.78,N,161,164,11,0
01/01/2020 12:16:32 AM,01/01/2020 12:28:26 AM,1,1.26,N,249,79,8.5,0
01/01/2020 12:04:53 AM,01/01/2020 12:26:25 AM,1,11.35,N,107,14,32.5,0
01/01/2020 12:28:41 AM,01/01/2020 12:34:01 AM,1,0.88,N,7,7,5.5,0
01/01/2020 12:18:21 AM,01/01/2020 12:18:59 AM,1,0.16,N,148,148,2.5,0
01/01/2020 12:14:34 AM,01/01/2020 12:15:49 AM,1,0.08,N,161,161,3,0
01/01/2020 12:24:37 AM,01/01/2020 12:31:19 AM,1,1.26,N,79,45,6.5,0
01/01/2020 12:41:11 AM,01/01/2020 12:48:14 AM,1,0.3,N,48,48,-6,0
01/01/2020 12:41:11 AM,01/01/2020 12:48:14 AM,1,0.3,N,48,48,6,0
01/01/2020 12:00:46 AM,01/01/2020 12:19:33 AM,1,4,N,161,263,16,0
01/01/2020 12:34:05 AM,01/01/2020 12:51:26 AM,1,9,N,161,138,26,7.18
01/01/2020 12:17:43 AM,01/01/2020 12:21:58 AM,3,0.68,N,158,125,4.5,0
01/01/2020 12:15:23 AM,01/01/2020 12:18:06 AM,1,0.4,N,234,234,4,0
01/01/2020 12:45:27 AM,01/01/2020 12:52:00 AM,1,0.6,N,233,162,6,0
01/01/2020 12:59:37 AM,01/01/2020 01:05:42 AM,1,1.1,N,79,4,6,1.96
01/01/2020 01:50:04 AM,01/01/2020 01:53:55 AM,1,0.09,N,233,233,4,0
01/01/2020 12:44:55 AM,01/01/2020 12:51:10 AM,2,1.85,N,48,238,7.5,0
01/01/2020 01:53:34 AM,01/01/2020 01:54:17 AM,4,0,N,129,129,0,0
01/01/2020 01:09:09 AM,01/01/2020 01:15:19 AM,1,0.52,N,263,262,5,0
01/01/2020 01:08:41 AM,01/01/2020 01:08:47 AM,1,0,N,140,140,52,0
01/01/2020 12:59:08 AM,01/01/2020 01:00:41 AM,6,0.16,N,137,137,3,0
01/01/2020 01:48:39 AM,01/01/2020 01:49:33 AM,1,0,N,107,107,2.5,0
01/01/2020 01:41:49 AM,01/01/2020 01:43:56 AM,3,0.12,N,229,229,3.5,0
01/01/2020 01:04:30 AM,01/01/2020 01:08:36 AM,1,0.99,N,140,229,5.5,0
01/01/2020 01:10:41 AM,01/01/2020 01:16:31 AM,1,0.65,N,229,162,5,0
01/01/2020 01:53:18 AM,01/01/2020 01:54:23 AM,1,0.15,N,162,170,3,0
01/01/2020 01:50:19 AM,01/01/2020 02:01:27 AM,1,2.63,N,49,61,10.5,0
01/01/2020 01:16:49 AM,01/01/2020 01:39:30 AM,1,5.37,N,141,119,19,0
01/01/2020 01:18:56 AM,01/01/2020 01:20:47 AM,1,0.42,N,125,231,3.5,0
01/01/2020 01:08:14 AM,01/01/2020 01:10:14 AM,2,0.24,N,42,42,3.5,0.8
01/01/2020 01:35:35 AM,01/01/2020 01:44:55 AM,2,1.49,N,158,211,8,2.95
01/01/2020 01:26:20 AM,01/01/2020 01:46:16 AM,1,5.78,N,141,144,20,0
01/01/2020 01:50:41 AM,01/01/2020 02:34:05 AM,4,16.38,N,68,259,50,0
01/01/2020 01:52:47 AM,01/01/2020 02:17:25 AM,1,10.85,N,236,18,31.5,0
01/01/2020 01:07:04 AM,01/01/2020 01:24:01 AM,1,2.48,N,263,143,12.5,0
01/01/2020 01:01:54 AM,01/01/2020 01:10:17 AM,2,1.86,N,229,236,8,0
01/01/2020 12:55:08 AM,01/01/2020 12:56:11 AM,1,0,N,107,107,3,0
01/01/2020 01:42:35 AM,01/01/2020 01:44:33 AM,3,0.75,N,263,236,4,0
01/01/2020 01:41:32 AM,01/01/2020 01:43:05 AM,1,0.11,N,142,143,3,0
01/01/2020 01:40:36 AM,01/01/2020 01:42:14 AM,1,0.52,N,237,236,3.5,0
01/01/2020 01:41:28 AM,01/01/2020 02:12:02 AM,1,9.57,N,88,146,31,0
01/01/2020 01:53:01 AM,01/01/2020 01:54:42 AM,3,0.15,N,164,164,3,0
01/01/2020 01:35:06 AM,01/01/2020 01:40:59 AM,1,0.96,N,13,88,6.5,0
01/01/2020 01:59:01 AM,01/01/2020 02:00:53 AM,1,0,N,233,233,90,0
01/01/2020 01:30:10 AM,01/01/2020 01:37:37 AM,2,1.1,N,181,181,7,2.05
01/01/2020 01:56:28 AM,01/01/2020 02:01:32 AM,1,0.87,N,113,114,5.5,0
01/01/2020 01:13:50 AM,01/01/2020 01:14:59 AM,1,0.35,N,132,132,3.5,0
01/01/2020 01:47:22 AM,01/01/2020 01:49:50 AM,1,0.18,N,161,230,3.5,0
01/01/2020 01:58:07 AM,01/01/2020 02:01:48 AM,2,0.71,N,79,137,4.5,0
01/01/2020 01:08:15 AM,01/01/2020 01:15:04 AM,2,1.34,N,186,158,6.5,0
01/01/2020 01:08:11 AM,01/01/2020 01:09:04 AM,1,0,N,229,229,2.5,0
01/01/2020 01:42:54 AM,01/01/2020 01:56:40 AM,1,2.2,N,162,48,11,2.95
01/01/2020 01:17:27 AM,01/01/2020 01:27:36 AM,2,1.65,N,107,100,9,0
01/01/2020 01:58:44 AM,01/01/2020 02:02:23 AM,1,0.7,N,170,107,4.5,0
01/01/2020 01:58:44 AM,01/01/2020 01:59:50 AM,1,0.02,N,261,261,2.5,0
01/01/2020 01:05:05 AM,01/01/2020 01:11:14 AM,1,0.94,N,246,100,6,0
01/01/2020 01:00:07 AM,01/01/2020 01:21:36 AM,1,3.32,N,164,231,15.5,0
01/01/2020 01:33:10 AM,01/01/2020 02:06:57 AM,1,5.9,N,161,226,25,0
01/01/2020 01:26:05 AM,01/01/2020 01:31:33 AM,1,0.97,N,68,234,6,0
01/01/2020 01:34:22 AM,01/02/2020 12:34:56 AM,1,0.77,N,263,141,5,0
01/01/2020 01:05:34 AM,01/01/2020 01:05:58 AM,1,0,N,61,61,2.5,0
01/01/2020 01:02:45 AM,01/01/2020 01:12:55 AM,1,0.51,N,48,48,7.5,0
01/01/2020 01:11:25 AM,01/01/2020 01:12:02 AM,1,0.02,N,164,164,2.5,0
01/01/2020 01:33:25 AM,01/01/2020 01:35:28 AM,1,0.17,N,79,79,3.5,0
01/01/2020 01:33:07 AM,01/01/2020 01:34:11 AM,1,0,N,4,4,3,0
01/01/2020 02:14:34 AM,01/01/2020 02:14:58 AM,2,0.06,N,161,161,2.5,0
01/01/2020 02:16:26 AM,01/01/2020 02:22:04 AM,1,0.71,N,161,100,23,0
01/01/2020 02:59:50 AM,01/01/2020 03:00:22 AM,5,0.05,N,107,107,2.5,0
01/01/2020 02:05:37 AM,01/01/2020 02:19:43 AM,1,1.9,N,224,68,10.5,2
01/01/2020 12:22:33 AM,01/01/2020 12:28:55 AM,2,1.2,N,263,43,6.5,2
